importance_rank,encoded_feature,source_feature,feature_group,availability,audit_result,reason,shap_rank,mean_abs_shap
1,first_kill_advantage_ct,first_kill_advantage_ct,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,1,0.8631866
2,eq_value_diff_ct,eq_value_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,2,0.33186516
3,ct_eq_value,ct_eq_value,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,3,0.108094335
4,helmet_diff_ct,helmet_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,4,0.10197277
5,t_eq_value,t_eq_value,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,5,0.076547116
6,armor_diff_ct,armor_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,6,0.048194297
7,ct_armor,ct_armor,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,7,0.04342398
8,rifle_diff_ct,rifle_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,8,0.041563444
9,ct_m4a1_s,ct_m4a1_s,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,9,0.03826792
10,score_diff_ct,score_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,10,0.036771398
11,map_name_de_inferno,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,11,0.035821166
12,grenade_diff_ct,grenade_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,12,0.03427712
13,first_kill_time,first_kill_time,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,13,0.03027389
14,smg_diff_ct,smg_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,14,0.025949253
15,map_name_de_overpass,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,15,0.019790154
16,cash_diff_ct,cash_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,16,0.013829762
17,map_name_de_dust2,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,17,0.011841699
18,first_kill_headshot,first_kill_headshot,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,18,0.01054144
19,t_armor,t_armor,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,19,0.008640045
20,first_kill_weapon_AWP,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,20,0.007893419
21,t_score,t_score,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,21,0.0075600888
22,t_grenades,t_grenades,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,22,0.006499976
23,t_rifles,t_rifles,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,23,0.0058419835
